Date,Weekly COVID-19 Hospital Admissions,Average Daily
"June 27, 2020",N/A,#VALUE!
"June 20, 2020",N/A,#VALUE!
"June 13, 2020",N/A,#VALUE!
"June 6, 2020",N/A,#VALUE!
"May 30, 2020",N/A,#VALUE!
"May 23, 2020",N/A,#VALUE!
"May 16, 2020",N/A,#VALUE!
"May 9, 2020",N/A,#VALUE!
"May 2, 2020",N/A,#VALUE!
"April 25, 2020",N/A,#VALUE!
"April 18, 2020",N/A,#VALUE!
"April 11, 2020",N/A,#VALUE!
"April 4, 2020",N/A,#VALUE!
"March 28, 2020",N/A,#VALUE!
"March 21, 2020",N/A,#VALUE!
"March 14, 2020",N/A,#VALUE!
"March 7, 2020",N/A,#VALUE!
"February 29, 2020",N/A,#VALUE!
"February 22, 2020",N/A,#VALUE!
"February 15, 2020",N/A,#VALUE!
"February 8, 2020",N/A,#VALUE!
"February 1, 2020",N/A,#VALUE!
"January 25, 2020",N/A,#VALUE!
"January 18, 2020",N/A,#VALUE!
"January 11, 2020",N/A,#VALUE!
